number,element,Z,line,energy_keV,intensity,error
1175,Hg,80,Kb5,80.762,0.294,0.012
1172,Hg,80,Kb2,82.473,3.87,0.08
1174,Hg,80,Kb4,82.733,0.08,0.04
1176,Hg,80,KO,83.028,0.64,0.07
1214,Tl,81,Ll,8.953,0.68,0.06
1202,Tl,81,La2,10.172,1.39,0.05
1201,Tl,81,La1,10.268,12.4,0.5
1213,Tl,81,Ln,10.994,0.188,0.01
1208,Tl,81,Lb6,11.812,0.19,0.007
1206,Tl,81,Lb4,11.931,0.077,0.012
1203,Tl,81,Lb1,12.213,8.3,0.4
1204,Tl,81,Lb2,12.261,3.06,0.13
1205,Tl,81,Lb3,12.39,0.094,0.014
1207,Tl,81,Lb5,12.643,0.362,0.013
1209,Tl,81,Lg1,14.291,1.71,0.1
1210,Tl,81,Lg2,14.625,0.026,0.004
1212,Tl,81,Lg6,14.683,0.28,0.03
1211,Tl,81,Lg3,14.738,0.033,0.005
1193,Tl,81,Ka3,70.184,0.0395,0.0012
1192,Tl,81,Ka2,70.832,27.6,0.6
1191,Tl,81,Ka1,72.873,46.3,0.9
1196,Tl,81,Kb3,82.115,5.59,0.11
1194,Tl,81,Kb1,82.574,10.7,0.22
1198,Tl,81,Kb5,83.093,0.303,0.012
1195,Tl,81,Kb2,84.865,3.9,0.08
1197,Tl,81,Kb4,85.134,0.09,0.04
1199,Tl,81,KO,85.444,0.67,0.07
1200,Tl,81,KP,85.53,0.0059,0.0006
1238,Pb,82,Ll,9.184,0.72,0.06
1226,Pb,82,La2,10.45,1.44,0.05
1225,Pb,82,La1,10.551,12.8,0.5
1237,Pb,82,Ln,11.349,0.196,0.011
1232,Pb,82,Lb6,12.142,0.2,0.008
1230,Pb,82,Lb4,12.307,0.08,0.012
1228,Pb,82,Lb2,12.611,3.18,0.14
1227,Pb,82,Lb1,12.614,8.5,0.5
1229,Pb,82,Lb3,12.794,0.095,0.014
1231,Pb,82,Lb5,13.015,0.411,0.015
1233,Pb,82,Lg1,14.765,1.78,0.1
1234,Pb,82,Lg2,15.097,0.027,0.004
1236,Pb,82,Lg6,15.178,0.31,0.03
1235,Pb,82,Lg3,15.216,0.034,0.006
1217,Pb,82,Ka3,72.144,0.0428,0.0013
1216,Pb,82,Ka2,72.805,27.7,0.6
1215,Pb,82,Ka1,74.969,46.2,0.9
1220,Pb,82,Kb3,84.45,5.58,0.11
1218,Pb,82,Kb1,84.938,10.7,0.22
1222,Pb,82,Kb5,85.47,0.312,0.012
1219,Pb,82,Kb2,87.3,3.91,0.08
1221,Pb,82,Kb4,87.58,0.09,0.04
1223,Pb,82,KO,87.911,0.7,0.07
1224,Pb,82,KP,88.003,0.0165,0.0017
1262,Bi,83,Ll,9.42,0.75,0.07
1250,Bi,83,La2,10.731,1.48,0.06
1249,Bi,83,La1,10.839,13.2,0.05
1261,Bi,83,Ln,11.712,0.207,0.011
1256,Bi,83,Lb6,12.48,0.21,0.008
1254,Bi,83,Lb4,12.691,0.083,0.013
1252,Bi,83,Lb2,12.967,3.28,0.14
1251,Bi,83,Lb1,13.024,8.8,0.5
1253,Bi,83,Lb3,13.211,0.096,0.015
1255,Bi,83,Lb5,13.393,0.458,0.017
1257,Bi,83,Lg1,15.248,1.87,0.011
1258,Bi,83,Lg2,15.582,0.029,0.005
1260,Bi,83,Lg6,15.685,0.34,0.03
1259,Bi,83,Lg3,15.709,0.035,0.006
1241,Bi,83,Ka3,74.138,0.0474,0.0014
1240,Bi,83,Ka2,74.815,27.7,0.6
1239,Bi,83,Ka1,77.107,46.2,0.9
1244,Bi,83,Kb3,86.83,5.59,0.11
1242,Bi,83,Kb1,87.349,10.7,0.21
1246,Bi,83,Kb5,87.892,0.321,0.013
1243,Bi,83,Kb2,89.784,3.93,0.08
1245,Bi,83,Kb4,90.074,0.09,0.04
1247,Bi,83,KO,90.421,0.73,0.08
1248,Bi,83,KP,90.522,0.031,0.003
1286,Po,84,Ll,9.658,0.79,0.07
1274,Po,84,La2,11.016,1.52,0.06
1273,Po,84,La1,11.13,13.6,0.5
1285,Po,84,Ln,12.085,0.218,0.012
1280,Po,84,Lb6,12.823,0.22,0.008
1278,Po,84,Lb4,13.084,0.095,0.014
1276,Po,84,Lb2,13.328,3.4,0.15
1275,Po,84,Lb1,13.443,9.1,0.5
1277,Po,84,Lb3,13.635,0.107,0.016
1279,Po,84,Lb5,13.778,0.506,0.019
1281,Po,84,Lg1,15.742,1.95,0.11
1282,Po,84,Lg2,16.077,0.033,0.005
1284,Po,84,Lg6,16.203,0.38,0.04
1283,Po,84,Lg3,16.213,0.04,0.006
1265,Po,84,Ka3,76.172,0.196,0.006
1264,Po,84,Ka2,76.863,27.7,0.6
1263,Po,84,Ka1,79.29,46.1,0.9
1268,Po,84,Kb3,89.256,5.57,0.11
1266,Po,84,Kb1,89.807,10.7,0.21
1270,Po,84,Kb5,90.363,0.33,0.013
1267,Po,84,Kb2,92.317,3.95,0.08
1269,Po,84,Kb4,92.618,0.09,0.04
1271,Po,84,KO,92.983,0.76,0.08
1272,Po,84,KP,93.095,0.049,0.005
1310,At,85,Ll,9.897,0.82,0.07
1298,At,85,La2,11.306,1.56,0.06
1297,At,85,La1,11.426,13.9,0.5
1309,At,85,Ln,12.466,0.228,0.012
1304,At,85,Lb6,13.169,0.23,0.009
1302,At,85,Lb4,13.488,0.092,0.014
1300,At,85,Lb2,13.694,3.52,0.15
1299,At,85,Lb1,13.875,9.4,0.5
1301,At,85,Lb3,14.073,0.101,0.015
1303,At,85,Lb5,14.168,0.556,0.021
1305,At,85,Lg1,16.249,2.05,0.12
1306,At,85,Lg2,16.585,0.033,0.005
1307,At,85,Lg3,16.731,0.038,0.006
1308,At,85,Lg6,16.735,0.41,0.04
1289,At,85,Ka3,78.242,0.0571,0.0017
1288,At,85,Ka2,78.948,27.9,0.6
1287,At,85,Ka1,81.517,46.1,0.9
1292,At,85,Kb3,91.73,5.58,0.11
1290,At,85,Kb1,92.315,10.7,0.21
1294,At,85,Kb5,92.883,0.339,0.014
1291,At,85,Kb2,94.9,3.97,0.08
1293,At,85,Kb4,95.211,0.1,0.05
1295,At,85,KO,95.595,0.78,0.08
1296,At,85,KP,95.717,0.07,0.007
1334,Rn,86,Ll,10.137,0.86,0.07
1322,Rn,86,La2,11.598,1.59,0.06
1321,Rn,86,La1,11.726,14.2,0.5
1333,Rn,86,Ln,12.855,0.238,0.013
1328,Rn,86,Lb6,13.52,0.239,0.009
1326,Rn,86,Lb4,13.898,0.099,0.015
1324,Rn,86,Lb2,14.066,3.65,0.16
1323,Rn,86,Lb1,14.316,9.7,0.5
1325,Rn,86,Lb3,14.519,0.106,0.016
1327,Rn,86,Lb5,14.565,0.605,0.023
1329,Rn,86,Lg1,16.77,2.15,0.13
1330,Rn,86,Lg2,17.104,0.036,0.006
1331,Rn,86,Lg3,17.258,0.04,0.007
1332,Rn,86,Lg6,17.28,0.44,0.04
1313,Rn,86,Ka3,80.349,0.0616,0.0019
1312,Rn,86,Ka2,81.069,27.9,0.6
1311,Rn,86,Ka1,83.787,46,0.9
1316,Rn,86,Kb3,94.247,5.56,0.11
1314,Rn,86,Kb1,94.868,10.6,0.21
1318,Rn,86,Kb5,95.449,0.349,0.014
1315,Rn,86,Kb2,97.53,3.98,0.08
1317,Rn,86,Kb4,97.853,0.1,0.05
1319,Rn,86,KO,98.257,0.81,0.08
1320,Rn,86,KP,98.389,0.094,0.01
1358,Fr,87,Ll,10.381,0.89,0.08
1346,Fr,87,La2,11.896,1.63,0.06
1345,Fr,87,La1,12.031,14.6,0.5
1357,Fr,87,Ln,13.255,0.247,0.013
1352,Fr,87,Lb6,13.877,0.251,0.009
1350,Fr,87,Lb4,14.319,0.102,0.015
1348,Fr,87,Lb2,14.443,3.74,0.16
1347,Fr,87,Lb1,14.77,9.9,0.5
1351,Fr,87,Lb5,14.967,0.683,0.025
1349,Fr,87,Lb3,14.978,0.106,0.016
1353,Fr,87,Lg1,17.302,2.25,0.13
1354,Fr,87,Lg2,17.635,0.038,0.006
1355,Fr,87,Lg3,17.8,0.041,0.007
1356,Fr,87,Lg6,17.839,0.47,0.04
1337,Fr,87,Ka3,82.496,0.0675,0.002
1336,Fr,87,Ka2,83.231,27.9,0.6
1335,Fr,87,Ka1,86.105,45.8,0.9
1340,Fr,87,Kb3,96.815,5.58,0.11
1338,Fr,87,Kb1,97.474,10.7,0.21
1342,Fr,87,Kb5,98.069,0.358,0.014
1339,Fr,87,Kb2,100.214,4.01,0.08
1341,Fr,87,Kb4,100.548,0.1,0.05
1343,Fr,87,KO,100.972,0.84,0.09
1344,Fr,87,KP,101.118,0.114,0.012
1382,Ra,88,Ll,10.622,0.93,0.08
1370,Ra,88,La2,12.196,1.67,0.06
1369,Ra,88,La1,12.339,14.9,0.6
1381,Ra,88,Ln,13.662,0.255,0.014
1376,Ra,88,Lb6,14.236,0.263,0.01
1374,Ra,88,Lb4,14.749,0.109,0.016
1372,Ra,88,Lb2,14.825,3.86,0.17
1371,Ra,88,Lb1,15.236,10.2,0.6
1375,Ra,88,Lb5,15.375,0.71,0.03
1373,Ra,88,Lb3,15.447,0.11,0.017
1377,Ra,88,Lg1,17.848,2.34,0.14
1378,Ra,88,Lg2,18.177,0.041,0.007
1379,Ra,88,Lg3,18.353,0.044,0.007
1380,Ra,88,Lg6,18.412,0.5,0.05
1361,Ra,88,Ka3,84.683,0.0732,0.0022
1360,Ra,88,Ka2,85.431,28,0.6
1359,Ra,88,Ka1,88.471,45.7,0.9
1364,Ra,88,Kb3,99.432,5.59,0.11
1362,Ra,88,Kb1,100.13,10.7,0.21
1366,Ra,88,Kb5,100.738,0.362,0.015
1363,Ra,88,Kb2,102.948,4.04,0.08
1365,Ra,88,Kb4,103.295,0.11,0.05
1367,Ra,88,KO,103.74,0.86,0.09
1368,Ra,88,KP,103.899,0.132,0.013
1406,Ac,89,Ll,10.871,0.98,0.08
1394,Ac,89,La2,12.5,1.71,0.06
1393,Ac,89,La1,12.651,15.3,0.6
1405,Ac,89,Ln,14.082,0.266,0.014
1400,Ac,89,Lb6,14.601,0.273,0.01
1398,Ac,89,Lb4,15.191,0.113,0.017
1396,Ac,89,Lb2,15.212,3.97,0.17
1395,Ac,89,Lb1,15.711,10.4,0.6
1399,Ac,89,Lb5,15.79,0.76,0.03
1397,Ac,89,Lb3,15.931,0.111,0.017
1401,Ac,89,Lg1,18.405,2.42,0.14
1402,Ac,89,Lg2,18.734,0.044,0.007
1403,Ac,89,Lg3,18.922,0.045,0.007
1404,Ac,89,Lg6,18.997,0.52,0.05
1385,Ac,89,Ka3,86.91,0.0791,0.0024
1384,Ac,89,Ka2,87.675,28.1,0.6
1383,Ac,89,Ka1,90.886,45.5,0.9
1388,Ac,89,Kb3,102.101,5.61,0.11
1386,Ac,89,Kb1,102.841,10.7,0.21
1390,Ac,89,Kb5,103.462,0.371,0.015
1387,Ac,89,Kb2,105.738,4.07,0.08
1389,Ac,89,Kb4,106.098,0.11,0.05
1391,Ac,89,KO,106.563,0.89,0.09
1392,Ac,89,KP,106.738,0.146,0.015
1430,Th,90,Ll,11.118,1.02,0.009
1418,Th,90,La2,12.809,1.75,0.08
1417,Th,90,La1,12.968,15.6,0.7
1429,Th,90,Ln,14.511,0.28,0.03
1424,Th,90,Lb6,14.97,0.284,0.013
1420,Th,90,Lb2,15.605,4.09,0.21
1422,Th,90,Lb4,15.641,0.122,0.021
1419,Th,90,Lb1,16.202,10.7,1.1
1423,Th,90,Lb5,16.209,0.81,0.04
1421,Th,90,Lb3,16.426,0.116,0.02
1425,Th,90,Lg1,18.98,2.5,0.3
1426,Th,90,Lg2,19.304,0.048,0.009
1427,Th,90,Lg3,19.505,0.048,0.009
1428,Th,90,Lg6,19.599,0.54,0.07
1409,Th,90,Ka3,89.178,0.085,0.003
1408,Th,90,Ka2,89.957,28.1,0.6
1407,Th,90,Ka1,93.35,45.4,0.9
1412,Th,90,Kb3,104.819,5.61,0.11
1410,Th,90,Kb1,105.604,10.7,0.21
1414,Th,90,Kb5,106.239,0.38,0.015
1411,Th,90,Kb2,108.582,4.1,0.08
1413,Th,90,Kb4,108.955,0.11,0.05
1415,Th,90,KO,109.442,0.9,0.09
1416,Th,90,KP,109.63,0.16,0.016
1454,Pa,91,Ll,11.372,1.08,0.1
1442,Pa,91,La2,13.127,1.82,0.08
1441,Pa,91,La1,13.291,16.2,0.8
1453,Pa,91,Ln,14.953,0.28,0.03
1448,Pa,91,Lb6,15.35,0.3,0.014
1444,Pa,91,Lb2,16.008,4.27,0.22
1446,Pa,91,Lb4,16.104,0.121,0.021
1447,Pa,91,Lb5,16.639,0.87,0.04
1443,Pa,91,Lb1,16.708,10.5,1.1
1445,Pa,91,Lb3,16.931,0.113,0.019
1449,Pa,91,Lg1,19.571,2.5,0.3
1450,Pa,91,Lg2,19.888,0.048,0.009
1451,Pa,91,Lg3,20.101,0.047,0.009
1452,Pa,91,Lg6,20.217,0.53,0.07
1433,Pa,91,Ka3,91.491,0.091,0.003
1432,Pa,91,Ka2,92.282,28.1,0.6
1431,Pa,91,Ka1,95.863,45.3,0.9
1436,Pa,91,Kb3,107.595,5.64,0.11
1434,Pa,91,Kb1,108.422,10.7,0.22
1438,Pa,91,Kb5,109.072,0.389,0.016
1435,Pa,91,Kb2,111.486,4.13,0.08
1437,Pa,91,Kb4,111.87,0.12,0.06
1439,Pa,91,KO,112.38,0.93,0.1
1440,Pa,91,KP,112.575,0.156,0.016
1478,U,92,Ll,11.62,1.14,0.1
1466,U,92,La2,13.442,1.89,0.09
1465,U,92,La1,13.618,16.8,0.8
1477,U,92,Ln,15.4,0.27,0.03
1472,U,92,Lb6,15.727,0.318,0.015
1468,U,92,Lb2,16.41,4.45,0.23
1470,U,92,Lb4,16.577,0.134,0.023
1471,U,92,Lb5,17.069,0.94,0.04
1467,U,92,Lb1,17.222,10.3,1.1
1469,U,92,Lb3,17.454,0.122,0.021
1473,U,92,Lg1,20.169,2.5,0.3
1474,U,92,Lg2,20.487,0.055,0.01
1475,U,92,Lg3,20.715,0.052,0.009
1476,U,92,Lg6,20.844,0.53,0.07
1457,U,92,Ka3,93.844,0.099,0.003
1456,U,92,Ka2,94.654,28.2,0.6
1455,U,92,Ka1,98.434,45.1,0.9
1460,U,92,Kb3,110.421,5.65,0.11
1458,U,92,Kb1,111.298,10.7,0.22
1462,U,92,Kb5,111.964,0.397,0.016
1459,U,92,Kb2,114.445,4.15,0.08
1461,U,92,Kb4,114.844,0.12,0.06
1463,U,92,KO,115.377,0.95,0.1
1464,U,92,KP,115.58,0.159,0.016
1502,Np,93,Ll,11.871,1.2,0.11
1490,Np,93,La2,13.761,1.94,0.09
1489,Np,93,La1,13.946,17.3,0.8
1501,Np,93,Ln,15.861,0.28,0.03
1496,Np,93,Lb6,16.109,0.333,0.016
1492,Np,93,Lb2,16.817,4.59,0.24
1494,Np,93,Lb4,17.061,0.14,0.024
1495,Np,93,Lb5,17.505,1.17,0.06
1491,Np,93,Lb1,17.751,10.3,1
1493,Np,93,Lb3,17.992,0.124,0.021
1497,Np,93,Lg1,20.784,2.5,0.3
1498,Np,93,Lg2,21.099,0.059,0.011
1499,Np,93,Lg3,21.342,0.054,0.01
1500,Np,93,Lg6,21.491,0.53,0.07
1481,Np,93,Ka3,96.242,0.105,0.003
1480,Np,93,Ka2,97.069,28.3,0.6
1479,Np,93,Ka1,101.059,45.1,0.9
1484,Np,93,Kb3,113.303,5.65,0.11
1482,Np,93,Kb1,114.234,10.7,0.22
1486,Np,93,Kb5,114.912,0.405,0.016
1483,Np,93,Kb2,117.463,4.17,0.08
1485,Np,93,Kb4,117.876,0.12,0.06
1487,Np,93,KO,118.429,0.97,0.1
1488,Np,93,KP,118.646,0.162,0.017
1526,Pu,94,Ll,12.124,1.25,0.11
1514,Pu,94,La2,14.087,2,0.1
1513,Pu,94,La1,14.282,17.9,0.9
1525,Pu,94,Ln,16.333,0.28,0.03
1520,Pu,94,Lb6,16.498,0.349,0.017
1516,Pu,94,Lb2,17.235,4.77,0.25
1518,Pu,94,Lb4,17.557,0.16,0.03
1519,Pu,94,Lb5,17.95,1.06,0.05
1515,Pu,94,Lb1,18.296,10.3,1
1517,Pu,94,Lb3,18.541,0.135,0.023
1521,Pu,94,Lg1,21.42,2.5,0.3
1522,Pu,94,Lg2,21.724,0.067,0.012
1523,Pu,94,Lg3,21.981,0.059,0.011
1524,Pu,94,Lg6,22.153,0.53,0.07
1505,Pu,94,Ka3,98.687,0.114,0.003
1504,Pu,94,Ka2,99.525,28.4,0.6
1503,Pu,94,Ka1,103.734,45.1,0.9
1508,Pu,94,Kb3,116.244,5.44,0.11
1506,Pu,94,Kb1,117.228,10.7,0.22
1510,Pu,94,Kb5,117.918,0.413,0.016
1507,Pu,94,Kb2,120.54,4.18,0.08
1509,Pu,94,Kb4,120.969,0.13,0.06
1511,Pu,94,KO,121.543,0.99,0.1
1512,Pu,94,KP,121.768,0.157,0.016
1550,Am,95,Ll,12.377,1.31,0.12
1538,Am,95,La2,14.414,2.04,0.1
1537,Am,95,La1,14.62,18.2,0.9
1549,Am,95,Ln,16.819,0.28,0.03
1544,Am,95,Lb6,16.89,0.361,0.017
1540,Am,95,Lb2,17.655,4.9,0.3
1542,Am,95,Lb4,18.069,0.16,0.03
1543,Am,95,Lb5,18.399,1.11,0.05
1539,Am,95,Lb1,18.856,10.4,1.1
1541,Am,95,Lb3,19.11,0.137,0.024
1545,Am,95,Lg1,22.072,2.6,0.3
1546,Am,95,Lg2,22.37,0.073,0.013
1547,Am,95,Lg3,22.643,0.062,0.011
1548,Am,95,Lg6,22.836,0.54,0.07
1529,Am,95,Ka3,101.174,0.123,0.004
1528,Am,95,Ka2,102.03,28.5,0.6
1527,Am,95,Ka1,106.472,44.9,0.9
1532,Am,95,Kb3,119.243,5.64,0.11
1530,Am,95,Kb1,120.284,10.7,0.21
1534,Am,95,Kb5,120.989,0.421,0.017
1531,Am,95,Kb2,123.68,4.19,0.08
1533,Am,95,Kb4,124.127,0.13,0.06
1535,Am,95,KO,124.723,1,0.1
1536,Am,95,KP,124.955,0.158,0.016
1574,Cm,96,Ll,12.633,1.36,0.12
1562,Cm,96,La2,14.746,2.08,0.1
1561,Cm,96,La1,14.961,18.5,0.9
1568,Cm,96,Lb6,17.286,0.373,0.018
1573,Cm,96,Ln,17.314,0.29,0.03
1564,Cm,96,Lb2,18.081,5,0.3
1566,Cm,96,Lb4,18.589,0.17,0.03
1567,Cm,96,Lb5,18.853,1.16,0.06
1563,Cm,96,Lb1,19.427,10.6,1.1
1565,Cm,96,Lb3,19.688,0.142,0.024
1569,Cm,96,Lg1,22.735,2.7,0.3
1570,Cm,96,Lg2,23.028,0.079,0.014
1571,Cm,96,Lg3,23.319,0.065,0.012
1572,Cm,96,Lg6,23.527,0.55,0.07
1553,Cm,96,Ka3,103.715,0.132,0.004
1552,Cm,96,Ka2,104.59,28.5,0.6
1551,Cm,96,Ka1,109.271,44.8,0.9
1556,Cm,96,Kb3,122.304,5.63,0.11
1554,Cm,96,Kb1,123.403,10.6,0.21
1558,Cm,96,Kb5,124.124,0.429,0.017
1555,Cm,96,Kb2,126.889,4.19,0.08
1557,Cm,96,Kb4,127.352,0.13,0.06
1559,Cm,96,KO,127.97,1.02,0.1
1560,Cm,96,KP,128.21,0.169,0.017
1598,Bk,97,Ll,12.89,1.4,0.13
1586,Bk,97,La2,15.082,2.1,0.1
1585,Bk,97,La1,15.308,18.8,0.9
1592,Bk,97,Lb6,17.687,0.385,0.018
1597,Bk,97,Ln,17.826,0.3,0.03
1588,Bk,97,Lb2,18.509,5.1,0.3
1590,Bk,97,Lb4,19.118,0.18,0.03
1591,Bk,97,Lb5,19.312,1.19,0.06
1587,Bk,97,Lb1,20.018,10.7,1.1
1589,Bk,97,Lb3,20.28,0.142,0.024
1593,Bk,97,Lg1,23.416,2.7,0.3
1594,Bk,97,Lg2,23.698,0.082,0.015
1595,Bk,97,Lg3,24.007,0.065,0.012
1596,Bk,97,Lg6,24.241,0.57,0.07
1577,Bk,97,Ka3,106.3,0.145,0.004
1576,Bk,97,Ka2,107.185,28.7,0.6
1575,Bk,97,Ka1,112.121,44.6,0.9
1580,Bk,97,Kb3,125.418,5.67,0.11
1578,Bk,97,Kb1,126.58,10.7,0.21
1582,Bk,97,Kb5,127.316,0.437,0.018
1579,Bk,97,Kb2,130.152,4.22,0.09
1581,Bk,97,Kb4,130.63,0.14,0.07
1583,Bk,97,KO,131.274,1.04,0.11
1584,Bk,97,KP,131.524,0.17,0.017
1622,Cf,98,Ll,13.146,1.45,0.13
1610,Cf,98,La2,15.423,2.12,0.1
1609,Cf,98,La1,15.66,19,0.9
1616,Cf,98,Lb6,18.094,0.396,0.019
1621,Cf,98,Ln,18.347,0.3,0.03
1612,Cf,98,Lb2,18.946,5.2,0.3
1614,Cf,98,Lb4,19.665,0.19,0.03
1615,Cf,98,Lb5,19.777,1.23,0.06
1611,Cf,98,Lb1,20.624,10.8,1.1
1613,Cf,98,Lb3,20.894,0.145,0.025
1617,Cf,98,Lg1,24.117,2.8,0.3
1618,Cf,98,Lg2,24.39,0.087,0.016
1619,Cf,98,Lg3,24.718,0.068,0.012
1620,Cf,98,Lg6,24.971,0.59,0.08
1601,Cf,98,Ka3,108.929,0.158,0.005
1600,Cf,98,Ka2,109.831,28.7,0.6
1599,Cf,98,Ka1,115.032,44.4,0.9
1604,Cf,98,Kb3,128.594,5.7,0.11
1602,Cf,98,Kb1,129.823,10.7,0.22
1606,Cf,98,Kb5,130.573,0.449,0.018
1603,Cf,98,Kb2,133.483,4.26,0.09
1605,Cf,98,Kb4,133.979,0.14,0.07
1607,Cf,98,KO,134.646,1.05,0.11
1608,Cf,98,KP,134.908,0.162,0.017
1646,Es,99,Ll,13.403,1.49,0.14
1634,Es,99,La2,15.767,2.15,0.1
1633,Es,99,La1,16.016,19.2,0.9
1640,Es,99,Lb6,18.501,0.407,0.019
1645,Es,99,Ln,18.884,0.31,0.03
1636,Es,99,Lb2,19.387,5.3,0.3
1638,Es,99,Lb4,20.224,0.21,0.04
1639,Es,99,Lb5,20.249,1.26,0.06
1635,Es,99,Lb1,21.248,11,1.1
1637,Es,99,Lb3,21.523,0.15,0.03
1641,Es,99,Lg1,24.836,2.8,0.3
1642,Es,99,Lg2,25.099,0.093,0.017
1643,Es,99,Lg3,25.446,0.071,0.013
1644,Es,99,Lg6,25.723,0.6,0.08
1625,Es,99,Ka3,111.614,0.171,0.005
1624,Es,99,Ka2,112.531,28.8,0.6
1623,Es,99,Ka1,118.012,44.3,0.9
1628,Es,99,Kb3,131.838,5.71,0.11
1626,Es,99,Kb1,133.137,10.7,0.22
1630,Es,99,Kb5,133.904,0.454,0.018
1627,Es,99,Kb2,136.887,4.27,0.09
1629,Es,99,Kb4,137.399,0.14,0.07
1631,Es,99,KO,138.09,1.06,0.11
1632,Es,99,KP,138.363,0.163,0.017
1670,Fm,100,Ll,13.66,1.53,0.15
1658,Fm,100,La2,16.116,2.17,0.13
1657,Fm,100,La1,16.377,19.4,1.1
1664,Fm,100,Lb6,18.916,0.419,0.024
1669,Fm,100,Ln,19.433,0.31,0.03
1660,Fm,100,Lb2,19.834,5.3,0.3
1663,Fm,100,Lb5,20.727,1.29,0.08
1662,Fm,100,Lb4,20.798,0.21,0.04
1659,Fm,100,Lb1,21.889,11.2,0.11
1661,Fm,100,Lb3,22.169,0.15,0.03
1665,Fm,100,Lg1,25.574,2.9,0.3
1666,Fm,100,Lg2,25.825,0.096,0.02
1667,Fm,100,Lg3,26.195,0.071,0.015
1668,Fm,100,Lg6,26.492,0.63,0.08
1649,Fm,100,Ka3,114.352,0.184,0.006
1648,Fm,100,Ka2,115.285,28.9,0.6
1647,Fm,100,Ka1,121.058,44.2,0.9
1652,Fm,100,Kb3,135.15,5.74,0.12
1650,Fm,100,Kb1,136.521,10.8,0.22
1654,Fm,100,Kb5,137.304,0.457,0.018
1651,Fm,100,Kb2,140.362,4.31,0.09
1653,Fm,100,Kb4,140.892,0.15,0.07
1655,Fm,100,KO,141.608,1.08,0.11
1656,Fm,100,KP,141.889,0.163,0.017
1694,Md,101,Ll,13.916,1.57,0.15
1682,Md,101,La2,16.467,2.19,0.13
1681,Md,101,La1,16.741,19.6,1.1
1688,Md,101,Lb6,19.332,0.43,0.025
1693,Md,101,Ln,19.998,0.32,0.03
1684,Md,101,Lb2,20.286,5.4,0.3
1687,Md,101,Lb5,21.21,1.32,0.08
1686,Md,101,Lb4,21.386,0.23,0.05
1683,Md,101,Lb1,22.549,11.4,1.2
1685,Md,101,Lb3,22.835,0.15,0.03
1689,Md,101,Lg1,26.333,3,0.3
1690,Md,101,Lg2,26.571,0.102,0.021
1691,Md,101,Lg3,26.963,0.073,0.015
1692,Md,101,Lg6,27.284,0.65,0.08
1673,Md,101,Ka3,118.139,0.201,0.006
1672,Md,101,Ka2,119.088,29,0.6
1671,Md,101,Ka1,125.17,44.1,0.9
1676,Md,101,Kb3,139.525,5.73,0.12
1674,Md,101,Kb1,140.974,10.7,0.22
1678,Md,101,Kb5,141.774,0.465,0.019
1675,Md,101,Kb2,144.906,4.3,0.09
1677,Md,101,Kb4,145.456,0.15,0.07
1679,Md,101,KO,146.195,1.09,0.11
1680,Md,101,KP,146.49,0.164,0.017
1718,No,102,Ll,14.173,1.61,0.16
1706,No,102,La2,16.823,2.2,0.13
1705,No,102,La1,17.11,19.7,1.1
1712,No,102,Lb6,19.754,0.44,0.03
1717,No,102,Ln,20.577,0.33,0.03
1708,No,102,Lb2,20.744,5.5,0.3
1711,No,102,Lb5,21.7,1.35,0.08
1710,No,102,Lb4,21.99,0.24,0.05
1707,No,102,Lb1,23.227,11.5,1.2
1709,No,102,Lb3,23.519,0.15,0.03
1713,No,102,Lg1,27.11,3.1,0.3
1714,No,102,Lg2,27.336,0.109,0.023
1715,No,102,Lg3,27.752,0.075,0.016
1716,No,102,Lg6,28.094,0.68,0.09
1697,No,102,Ka3,119.987,0.218,0.007
1696,No,102,Ka2,120.953,29,0.6
1695,No,102,Ka1,127.357,44,0.9
1700,No,102,Kb3,141.977,5.75,0.12
1698,No,102,Kb1,143.506,10.7,0.22
1702,No,102,Kb5,144.323,0.472,0.019
1699,No,102,Kb2,147.531,4.32,0.09
1701,No,102,Kb4,148.1,0.15,0.07
1703,No,102,KO,148.865,1.1,0.11
1704,No,102,KP,149.171,0.165,0.017
1742,Lr,103,Ll,14.429,1.64,0.16
1730,Lr,103,La2,17.183,2.22,0.13
1729,Lr,103,La1,17.483,19.8,1.1
1736,Lr,103,Lb6,20.179,0.45,0.03
1741,Lr,103,Ln,21.173,0.34,0.03
1732,Lr,103,Lb2,21.207,5.5,0.4
1735,Lr,103,Lb5,22.195,1.38,0.08
1734,Lr,103,Lb4,22.609,0.24,0.05
1731,Lr,103,Lb1,23.927,11.7,0.12
1733,Lr,103,Lb3,24.223,0.15,0.03
1737,Lr,103,Lg1,27.911,3.1,0.3
1738,Lr,103,Lg2,28.12,0.109,0.023
1739,Lr,103,Lg3,28.56,0.074,0.015
1740,Lr,103,Lg6,28.929,0.7,0.09
1721,Lr,103,Ka3,122.887,0.235,0.007
1720,Lr,103,Ka2,123.867,29.1,0.6
1719,Lr,103,Ka1,130.611,43.8,0.9
1724,Lr,103,Kb3,145.496,5.78,0.12
1722,Lr,103,Kb1,147.11,10.8,0.22
1726,Lr,103,Kb5,147.944,0.479,0.019
1723,Lr,103,Kb2,151.227,4.35,0.09
1725,Lr,103,Kb4,151.818,0.16,0.08
1727,Lr,103,KO,152.607,1.12,0.11
1728,Lr,103,KP,152.926,0.174,0.018
1766,Rf,104,Ll,14.746,1.68,0.16
1754,Rf,104,La2,17.571,2.22,0.13
